Ranking,Name,Date,Year,Quart,Sales,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,Y0,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
99,쌍화점,2008-12-30,8,4qr,25616489949,3779553,499,1,0,0,0,0,0,0,0,17,0,1,0,1,0,0,0,0,0,0,0,0,0,0
100,신기전,2008-09-04,8,3qr,24314570667,3726134,585,1,1,0,0,0,0,0,0,22,3,1,0,1,0,0,0,0,0,0,0,0,0,0
101,친절한 금자씨,2005-07-29,5,3qr,29030495828,3650000,127,0,0,1,1,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
102,귀향,2016-02-24,16,1qr,27248705990,3586929,876,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103,신의 한 수,2014-07-03,14,3qr,28810921456,3566336,794,0,1,0,0,0,0,0,0,22,1,1,0,0,0,0,0,0,0,1,0,0,0,0
104,스캔들-조선남녀상열지사,2003-10-02,3,4qr,25039102935,3522747,76,1,0,0,0,0,0,0,0,21,0,1,0,0,0,0,0,0,0,0,0,0,0,0
105,가문의 부활 - 가문의 영광3,2006-09-21,6,3qr,25039201925,3464516,114,0,0,0,0,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0
106,부러진 화살,2012-01-18,12,1qr,25936754000,3459780,453,0,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,1,0,0,0,0,0,0
107,끝까지 간다,2014-05-29,14,2qr,27007303900,3450305,645,0,1,0,0,0,0,0,0,43,0,1,0,0,0,0,0,0,0,1,0,0,0,0
108,스파이,2013-09-05,13,3qr,24509269305,3435801,785,0,0,1,0,0,0,0,0,16,3,1,0,0,0,0,0,0,1,0,0,0,0,0
109,그것만이 내 세상,2018-01-17,18,1qr,27444801382,3418091,862,0,0,1,0,0,0,0,0,38,3,1,0,0,0,0,0,0,0,0,0,0,0,1
110,이끼,2010-07-14,10,3qr,25856306126,3408144,736,0,0,0,1,0,0,0,0,19,4,1,0,0,0,1,0,0,0,0,0,0,0,0
111,포화속으로,2010-06-16,10,2qr,24217600897,3385706,736,0,1,0,0,0,0,0,0,14,0,1,0,0,0,1,0,0,0,0,0,0,0,0
112,아이 캔 스피크,2017-09-21,17,3qr,25532214986,3280243,1140,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0
113,올드보이,2003-11-21,3,4qr,30294919204,3269000,45,0,1,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,마녀,2018-06-27,18,2qr,27242303463,3189132,1117,0,1,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,탐정: 리턴즈,2018-06-13,18,2qr,26909890178,3152934,1041,0,1,0,0,0,0,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,1
116,어린 신부,2004-04-02,4,2qr,29402040291,3149500,50,0,0,1,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,오! 브라더스,2003-09-04,3,3qr,23291929492,3148748,51,0,0,1,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0
118,"장화, 홍련",2003-06-13,3,2qr,25039293950,3146217,52,0,0,0,1,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,그놈 목소리,2007-02-01,7,1qr,28394838492,3143247,110,0,0,1,0,0,0,0,1,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0
120,우리들의 행복한 시간,2006-09-14,6,3qr,24344394332,3132320,118,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,퀵,2011-07-20,11,3qr,22960890000,3125069,512,0,1,0,0,0,0,0,0,33,0,1,0,0,0,0,1,0,0,0,0,0,0,0
122,감기,2013-08-14,13,3qr,21784202000,3119023,806,0,0,0,0,1,0,0,0,28,1,0,0,0,0,0,0,0,1,0,0,0,0,0
123,말죽거리 잔혹사,2004-01-16,4,1qr,22304030502,3115767,67,0,0,1,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,광복절 특사,2002-11-20,2,4qr,22013858293,3101900,71,0,0,1,0,0,0,0,0,38,0,0,1,0,0,0,0,0,0,0,0,0,0,0
125,마파도,2005-03-10,5,1qr,21030593022,3090467,58,0,0,1,0,0,1,0,0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0
126,하모니,2010-01-28,10,1qr,21992266198,3068544,405,0,0,1,0,0,0,0,0,39,1,1,0,0,0,1,0,0,0,0,0,0,0,0
127,거북이 달린다,2009-06-11,9,2qr,20857347292,3059812,379,0,1,1,0,0,0,0,0,34,0,1,0,0,1,0,0,0,0,0,0,0,0,0
128,너는 내 운명,2005-09-23,5,3qr,20395939201,3051134,92,0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0
129,스물,2015-03-25,15,1qr,23558988686,3044134,926,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0
130,식객,2007-11-01,7,4qr,2.21E+11,3038868,88,0,0,1,0,0,0,0,0,26,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,방자전,2010-06-02,10,2qr,22853629794,3035116,512,1,0,0,0,0,0,1,0,33,0,1,0,0,0,1,0,0,0,0,0,0,0,0
132,마더,2009-05-28,9,2qr,20195373838,3013523,648,0,0,1,0,0,0,0,0,37,1,1,0,0,1,0,0,0,0,0,0,0,0,0
133,오싹한 연애,2011-12-01,11,4qr,22010977000,3009356,469,0,0,1,0,0,0,0,0,36,0,1,0,0,0,0,1,0,0,0,0,0,0,0
134,형,2016-11-23,16,4qr,23129111893,2982022,993,0,0,1,0,0,0,0,0,28,1,1,0,0,0,0,0,0,0,0,0,1,0,0
135,친구 2,2013-11-14,13,4qr,21804687513,2971475,968,0,1,0,0,0,0,0,0,26,0,1,0,0,0,0,0,0,1,0,0,0,0,0
136,26년,2012-11-29,12,4qr,21241327145,2963449,604,0,1,0,0,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0
137,워낭소리,2009-01-15,9,1qr,19259975032,2962897,20,0,0,1,0,0,0,0,0,38,0,0,0,0,1,0,0,0,0,0,0,0,0,0
138,고지전,2011-07-20,11,3qr,21968557600,2945137,585,0,1,0,0,0,0,0,0,40,0,1,0,0,0,0,1,0,0,0,0,0,0,0
139,프리즌,2017-03-23,17,1qr,23790276987,2931897,1047,0,0,1,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,0,1,0
140,헬로우 고스트,2010-12-22,10,4qr,21154651779,2897477,472,0,0,1,0,0,1,0,0,34,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,귀신이 산다,2004-09-17,4,3qr,21020492910,2890000,70,0,0,1,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,극비수사,2015-06-18,15,2qr,22389535897,2860786,894,0,1,0,0,0,0,0,0,34,2,1,0,0,0,0,0,0,0,0,1,0,0,0
143,표적,2014-04-30,14,2qr,22256359300,2841788,665,0,1,0,0,0,0,0,0,31,1,1,0,0,0,0,0,0,0,1,0,0,0,0
144,황산벌,2003-10-17,3,4qr,21929492842,2771236,71,1,1,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,부당거래,2010-10-28,10,4qr,21326977937,2766436,502,0,1,0,0,0,0,0,1,34,1,1,0,0,0,1,0,0,0,0,0,0,0,0
146,1번가의 기적,2007-02-14,7,1qr,21020492842,2750457,80,0,0,1,0,0,0,0,0,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0
147,시라노; 연애조작단,2010-09-16,10,3qr,20171151599,2731828,402,0,0,1,0,0,0,0,0,34,0,1,0,0,0,1,0,0,0,0,0,0,0,0
148,내가 살인범이다,2012-11-08,12,4qr,20392346000,2729808,547,0,0,0,1,0,0,0,0,30,1,1,0,0,0,0,0,1,0,0,0,0,0,0
149,소원,2013-10-02,13,4qr,18529792100,2711071,641,0,0,1,0,0,0,0,0,28,3,1,0,0,0,0,0,0,1,0,0,0,0,0
150,친구,2001-03-31,1,1qr,19204929402,2678846,0,0,0,1,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,곤지암,2018-03-28,18,1qr,21442440144,2675618,1124,0,0,0,1,0,0,0,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,1
152,살인자의 기억법,2017-09-06,17,3qr,21375287492,2658589,1064,0,0,0,1,0,0,0,0,33,8,1,0,0,0,0,0,0,0,0,0,0,1,0
