Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
2,1,0,0,1,0,0,0,0,0,0,29,0,0
2,17,71,0,0,0,1,0,0,0,0,25,0,1
2,10,509,1,0,0,0,0,0,0,0,24,0,0
2,7,57,0,0,1,0,0,0,0,0,26,0,1
2,3,39,0,0,1,0,0,1,0,0,27,0,0
2,17,751,0,0,0,1,0,0,0,0,18,0,0
2,18,833,0,1,0,0,0,0,0,0,32,1,1
2,4,70,1,0,0,0,0,0,0,0,20,0,1
2,17,996,0,1,0,0,0,0,0,0,17,1,0
2,5,54,0,0,0,1,0,0,0,0,24,0,1
2,17,1154,0,0,1,0,0,0,0,0,18,4,1
2,12,433,0,0,0,0,0,1,0,0,30,0,1
2,12,521,0,0,1,0,0,0,0,0,32,0,1
2,18,966,1,0,0,0,0,0,0,0,26,1,1
2,13,840,0,0,1,0,0,1,0,0,32,0,1
2,9,404,0,0,1,0,0,0,0,0,17,0,0
2,18,925,0,0,0,1,0,0,0,0,18,0,0
2,16,54,0,0,1,0,0,0,0,0,21,0,1
2,12,576,0,1,0,0,0,0,0,0,19,0,1
2,8,326,0,1,0,0,0,0,0,0,21,0,0
2,17,711,0,0,0,1,0,0,0,0,20,0,0
2,7,52,0,0,0,0,0,1,0,0,24,0,1
3,7,70,0,0,0,0,0,1,0,0,26,0,1
3,7,51,0,0,0,0,0,1,0,0,17,0,1
3,9,411,0,0,1,0,0,0,0,0,25,0,0
3,4,54,0,0,0,0,0,1,0,0,17,0,0
3,5,82,0,1,0,0,0,0,0,0,26,0,1
3,7,106,1,0,0,0,0,0,0,0,18,0,0
3,7,65,0,0,1,0,0,1,0,0,29,0,1
3,7,82,0,0,0,0,0,1,0,0,17,0,1
3,5,52,0,1,0,0,0,0,0,0,18,0,1
3,1,0,0,0,0,0,0,1,0,0,18,0,0
3,12,356,0,0,0,0,0,1,0,0,17,0,1
3,4,56,0,0,1,0,0,0,0,0,27,0,0
3,16,691,0,0,1,0,0,0,0,1,21,0,0
3,7,89,0,0,1,0,0,0,0,0,32,0,1
3,10,319,0,0,0,0,0,1,0,0,22,0,1
3,5,58,1,0,0,0,0,1,0,0,17,0,1
3,-1,0,0,0,0,1,0,0,0,0,25,0,0
3,10,422,0,0,0,1,0,0,0,0,26,0,1
3,1,0,0,0,0,0,0,1,0,0,24,0,1
3,14,560,0,0,1,0,0,0,0,0,24,0,1
3,13,524,0,0,1,0,0,0,0,0,18,0,0
3,13,707,0,0,1,0,0,0,0,0,31,1,1
3,17,685,0,1,0,0,0,0,0,0,24,0,0
